event_id,date,t,ticker,sector,close
E1,2023-10-03,-70,^GSPC,Benchmark,4229.4501953125
E1,2023-10-04,-69,^GSPC,Benchmark,4263.75
E1,2023-10-05,-68,^GSPC,Benchmark,4258.18994140625
E1,2023-10-06,-67,^GSPC,Benchmark,4308.5
E1,2023-10-09,-66,^GSPC,Benchmark,4335.66015625
E1,2023-10-10,-65,^GSPC,Benchmark,4358.240234375
E1,2023-10-11,-64,^GSPC,Benchmark,4376.9501953125
E1,2023-10-12,-63,^GSPC,Benchmark,4349.60986328125
E1,2023-10-13,-62,^GSPC,Benchmark,4327.77978515625
E1,2023-10-16,-61,^GSPC,Benchmark,4373.6298828125
E1,2023-10-17,-60,^GSPC,Benchmark,4373.2001953125
E1,2023-10-18,-59,^GSPC,Benchmark,4314.60009765625
E1,2023-10-19,-58,^GSPC,Benchmark,4278.0
E1,2023-10-20,-57,^GSPC,Benchmark,4224.16015625
E1,2023-10-23,-56,^GSPC,Benchmark,4217.0400390625
E1,2023-10-24,-55,^GSPC,Benchmark,4247.68017578125
E1,2023-10-25,-54,^GSPC,Benchmark,4186.77001953125
E1,2023-10-26,-53,^GSPC,Benchmark,4137.22998046875
E1,2023-10-27,-52,^GSPC,Benchmark,4117.3701171875
E1,2023-10-30,-51,^GSPC,Benchmark,4166.81982421875
E1,2023-10-31,-50,^GSPC,Benchmark,4193.7998046875
E1,2023-11-01,-49,^GSPC,Benchmark,4237.85986328125
E1,2023-11-02,-48,^GSPC,Benchmark,4317.77978515625
E1,2023-11-03,-47,^GSPC,Benchmark,4358.33984375
E1,2023-11-06,-46,^GSPC,Benchmark,4365.97998046875
E1,2023-11-07,-45,^GSPC,Benchmark,4378.3798828125
E1,2023-11-08,-44,^GSPC,Benchmark,4382.77978515625
E1,2023-11-09,-43,^GSPC,Benchmark,4347.35009765625
E1,2023-11-10,-42,^GSPC,Benchmark,4415.240234375
E1,2023-11-13,-41,^GSPC,Benchmark,4411.5498046875
E1,2023-11-14,-40,^GSPC,Benchmark,4495.7001953125
E1,2023-11-15,-39,^GSPC,Benchmark,4502.8798828125
E1,2023-11-16,-38,^GSPC,Benchmark,4508.240234375
E1,2023-11-17,-37,^GSPC,Benchmark,4514.02001953125
E1,2023-11-20,-36,^GSPC,Benchmark,4547.3798828125
E1,2023-11-21,-35,^GSPC,Benchmark,4538.18994140625
E1,2023-11-22,-34,^GSPC,Benchmark,4556.6201171875
E1,2023-11-24,-33,^GSPC,Benchmark,4559.33984375
E1,2023-11-27,-32,^GSPC,Benchmark,4550.43017578125
E1,2023-11-28,-31,^GSPC,Benchmark,4554.89013671875
E1,2023-11-29,-30,^GSPC,Benchmark,4550.580078125
E1,2023-11-30,-29,^GSPC,Benchmark,4567.7998046875
E1,2023-12-01,-28,^GSPC,Benchmark,4594.6298828125
E1,2023-12-04,-27,^GSPC,Benchmark,4569.77978515625
E1,2023-12-05,-26,^GSPC,Benchmark,4567.18017578125
E1,2023-12-06,-25,^GSPC,Benchmark,4549.33984375
E1,2023-12-07,-24,^GSPC,Benchmark,4585.58984375
E1,2023-12-08,-23,^GSPC,Benchmark,4604.3701171875
E1,2023-12-11,-22,^GSPC,Benchmark,4622.43994140625
E1,2023-12-12,-21,^GSPC,Benchmark,4643.7001953125
E1,2023-12-13,-20,^GSPC,Benchmark,4707.08984375
E1,2023-12-14,-19,^GSPC,Benchmark,4719.5498046875
E1,2023-12-15,-18,^GSPC,Benchmark,4719.18994140625
E1,2023-12-18,-17,^GSPC,Benchmark,4740.56005859375
E1,2023-12-19,-16,^GSPC,Benchmark,4768.3701171875
E1,2023-12-20,-15,^GSPC,Benchmark,4698.35009765625
E1,2023-12-21,-14,^GSPC,Benchmark,4746.75
E1,2023-12-22,-13,^GSPC,Benchmark,4754.6298828125
E1,2023-12-26,-12,^GSPC,Benchmark,4774.75
E1,2023-12-27,-11,^GSPC,Benchmark,4781.580078125
E1,2023-12-28,-10,^GSPC,Benchmark,4783.35009765625
E1,2023-12-29,-9,^GSPC,Benchmark,4769.830078125
E1,2024-01-02,-8,^GSPC,Benchmark,4742.830078125
E1,2024-01-03,-7,^GSPC,Benchmark,4704.81005859375
E1,2024-01-04,-6,^GSPC,Benchmark,4688.68017578125
E1,2024-01-05,-5,^GSPC,Benchmark,4697.240234375
E1,2024-01-08,-4,^GSPC,Benchmark,4763.5400390625
E1,2024-01-09,-3,^GSPC,Benchmark,4756.5
E1,2024-01-10,-2,^GSPC,Benchmark,4783.4501953125
E1,2024-01-11,-1,^GSPC,Benchmark,4780.240234375
E1,2024-01-12,0,^GSPC,Benchmark,4783.830078125
E1,2024-01-16,1,^GSPC,Benchmark,4765.97998046875
E1,2024-01-17,2,^GSPC,Benchmark,4739.2099609375
E1,2024-01-18,3,^GSPC,Benchmark,4780.93994140625
E1,2024-01-19,4,^GSPC,Benchmark,4839.81005859375
E1,2024-01-22,5,^GSPC,Benchmark,4850.43017578125
E1,2024-01-23,6,^GSPC,Benchmark,4864.60009765625
E1,2024-01-24,7,^GSPC,Benchmark,4868.5498046875
E1,2024-01-25,8,^GSPC,Benchmark,4894.16015625
E1,2024-01-26,9,^GSPC,Benchmark,4890.97021484375
E1,2024-01-29,10,^GSPC,Benchmark,4927.93017578125
E1,2023-10-03,-70,^VIX,Benchmark,19.780000686645508
E1,2023-10-04,-69,^VIX,Benchmark,18.579999923706055
E1,2023-10-05,-68,^VIX,Benchmark,18.489999771118164
E1,2023-10-06,-67,^VIX,Benchmark,17.450000762939453
E1,2023-10-09,-66,^VIX,Benchmark,17.700000762939453
E1,2023-10-10,-65,^VIX,Benchmark,17.030000686645508
E1,2023-10-11,-64,^VIX,Benchmark,16.09000015258789
E1,2023-10-12,-63,^VIX,Benchmark,16.690000534057617
E1,2023-10-13,-62,^VIX,Benchmark,19.31999969482422
E1,2023-10-16,-61,^VIX,Benchmark,17.209999084472656
E1,2023-10-17,-60,^VIX,Benchmark,17.8799991607666
E1,2023-10-18,-59,^VIX,Benchmark,19.219999313354492
E1,2023-10-19,-58,^VIX,Benchmark,21.399999618530273
E1,2023-10-20,-57,^VIX,Benchmark,21.709999084472656
E1,2023-10-23,-56,^VIX,Benchmark,20.3700008392334
E1,2023-10-24,-55,^VIX,Benchmark,18.969999313354492
E1,2023-10-25,-54,^VIX,Benchmark,20.190000534057617
E1,2023-10-26,-53,^VIX,Benchmark,20.68000030517578
E1,2023-10-27,-52,^VIX,Benchmark,21.270000457763672
E1,2023-10-30,-51,^VIX,Benchmark,19.75
E1,2023-10-31,-50,^VIX,Benchmark,18.139999389648438
E1,2023-11-01,-49,^VIX,Benchmark,16.8700008392334
E1,2023-11-02,-48,^VIX,Benchmark,15.65999984741211
E1,2023-11-03,-47,^VIX,Benchmark,14.90999984741211
E1,2023-11-06,-46,^VIX,Benchmark,14.890000343322754
E1,2023-11-07,-45,^VIX,Benchmark,14.8100004196167
E1,2023-11-08,-44,^VIX,Benchmark,14.449999809265137
E1,2023-11-09,-43,^VIX,Benchmark,15.289999961853027
E1,2023-11-10,-42,^VIX,Benchmark,14.170000076293945
E1,2023-11-13,-41,^VIX,Benchmark,14.760000228881836
E1,2023-11-14,-40,^VIX,Benchmark,14.15999984741211
E1,2023-11-15,-39,^VIX,Benchmark,14.180000305175781
E1,2023-11-16,-38,^VIX,Benchmark,14.319999694824219
E1,2023-11-17,-37,^VIX,Benchmark,13.800000190734863
E1,2023-11-20,-36,^VIX,Benchmark,13.40999984741211
E1,2023-11-21,-35,^VIX,Benchmark,13.350000381469727
E1,2023-11-22,-34,^VIX,Benchmark,12.850000381469727
E1,2023-11-24,-33,^VIX,Benchmark,12.460000038146973
E1,2023-11-27,-32,^VIX,Benchmark,12.6899995803833
E1,2023-11-28,-31,^VIX,Benchmark,12.6899995803833
E1,2023-11-29,-30,^VIX,Benchmark,12.979999542236328
E1,2023-11-30,-29,^VIX,Benchmark,12.920000076293945
E1,2023-12-01,-28,^VIX,Benchmark,12.630000114440918
E1,2023-12-04,-27,^VIX,Benchmark,13.079999923706055
E1,2023-12-05,-26,^VIX,Benchmark,12.850000381469727
E1,2023-12-06,-25,^VIX,Benchmark,12.970000267028809
E1,2023-12-07,-24,^VIX,Benchmark,13.0600004196167
E1,2023-12-08,-23,^VIX,Benchmark,12.350000381469727
E1,2023-12-11,-22,^VIX,Benchmark,12.630000114440918
E1,2023-12-12,-21,^VIX,Benchmark,12.069999694824219
E1,2023-12-13,-20,^VIX,Benchmark,12.1899995803833
E1,2023-12-14,-19,^VIX,Benchmark,12.479999542236328
E1,2023-12-15,-18,^VIX,Benchmark,12.279999732971191
E1,2023-12-18,-17,^VIX,Benchmark,12.5600004196167
E1,2023-12-19,-16,^VIX,Benchmark,12.529999732971191
E1,2023-12-20,-15,^VIX,Benchmark,13.670000076293945
E1,2023-12-21,-14,^VIX,Benchmark,13.649999618530273
E1,2023-12-22,-13,^VIX,Benchmark,13.029999732971191
E1,2023-12-26,-12,^VIX,Benchmark,12.989999771118164
E1,2023-12-27,-11,^VIX,Benchmark,12.430000305175781
E1,2023-12-28,-10,^VIX,Benchmark,12.470000267028809
E1,2023-12-29,-9,^VIX,Benchmark,12.449999809265137
E1,2024-01-02,-8,^VIX,Benchmark,13.199999809265137
E1,2024-01-03,-7,^VIX,Benchmark,14.039999961853027
E1,2024-01-04,-6,^VIX,Benchmark,14.130000114440918
E1,2024-01-05,-5,^VIX,Benchmark,13.350000381469727
E1,2024-01-08,-4,^VIX,Benchmark,13.079999923706055
E1,2024-01-09,-3,^VIX,Benchmark,12.760000228881836
E1,2024-01-10,-2,^VIX,Benchmark,12.6899995803833
E1,2024-01-11,-1,^VIX,Benchmark,12.4399995803833
E1,2024-01-12,0,^VIX,Benchmark,12.699999809265137
E1,2024-01-16,1,^VIX,Benchmark,13.84000015258789
E1,2024-01-17,2,^VIX,Benchmark,14.789999961853027
E1,2024-01-18,3,^VIX,Benchmark,14.130000114440918
E1,2024-01-19,4,^VIX,Benchmark,13.300000190734863
E1,2024-01-22,5,^VIX,Benchmark,13.1899995803833
E1,2024-01-23,6,^VIX,Benchmark,12.550000190734863
E1,2024-01-24,7,^VIX,Benchmark,13.140000343322754
E1,2024-01-25,8,^VIX,Benchmark,13.449999809265137
E1,2024-01-26,9,^VIX,Benchmark,13.260000228881836
E1,2024-01-29,10,^VIX,Benchmark,13.600000381469727
E1,2023-10-03,-70,XLE,Energy,40.50617218017578
E1,2023-10-04,-69,XLE,Energy,39.234195709228516
E1,2023-10-05,-68,XLE,Energy,38.99170684814453
E1,2023-10-06,-67,XLE,Energy,39.22504806518555
E1,2023-10-09,-66,XLE,Energy,40.53361892700195
E1,2023-10-10,-65,XLE,Energy,40.58395004272461
E1,2023-10-11,-64,XLE,Energy,40.062355041503906
E1,2023-10-12,-63,XLE,Energy,40.10810852050781
E1,2023-10-13,-62,XLE,Energy,40.99115753173828
E1,2023-10-16,-61,XLE,Energy,41.26568603515625
E1,2023-10-17,-60,XLE,Energy,41.69577407836914
E1,2023-10-18,-59,XLE,Energy,42.075531005859375
E1,2023-10-19,-58,XLE,Energy,42.00233459472656
E1,2023-10-20,-57,XLE,Energy,41.29771423339844
E1,2023-10-23,-56,XLE,Energy,40.629703521728516
E1,2023-10-24,-55,XLE,Energy,40.057777404785156
E1,2023-10-25,-54,XLE,Energy,39.98456573486328
E1,2023-10-26,-53,XLE,Energy,39.673439025878906
E1,2023-10-27,-52,XLE,Energy,38.72175598144531
E1,2023-10-30,-51,XLE,Energy,38.84987258911133
E1,2023-10-31,-50,XLE,Energy,38.97798156738281
E1,2023-11-01,-49,XLE,Energy,38.88646697998047
E1,2023-11-02,-48,XLE,Energy,40.062355041503906
E1,2023-11-03,-47,XLE,Energy,39.65971755981445
E1,2023-11-06,-46,XLE,Energy,39.21131896972656
E1,2023-11-07,-45,XLE,Energy,38.34199142456055
E1,2023-11-08,-44,XLE,Energy,37.861576080322266
E1,2023-11-09,-43,XLE,Energy,37.7471923828125
E1,2023-11-10,-42,XLE,Energy,38.163551330566406
E1,2023-11-13,-41,XLE,Energy,38.438079833984375
